date,close
25-08-2017,159.86
28-08-2017,161.47
29-08-2017,162.91
30-08-2017,163.35
31-08-2017,164
01-09-2017,164.05
05-09-2017,162.08
06-09-2017,161.91
07-09-2017,161.26
08-09-2017,158.63
11-09-2017,161.5
12-09-2017,160.86
13-09-2017,159.65
14-09-2017,158.28
15-09-2017,159.88
18-09-2017,158.67
19-09-2017,158.73
20-09-2017,156.07
21-09-2017,153.39
22-09-2017,151.89
25-09-2017,150.55
26-09-2017,153.14
27-09-2017,154.23
28-09-2017,153.28
29-09-2017,154.12
02-10-2017,153.81
03-10-2017,154.48
04-10-2017,153.48
05-10-2017,155.39
06-10-2017,155.3
09-10-2017,155.84
10-10-2017,155.9
11-10-2017,156.55
12-10-2017,156
13-10-2017,156.99
16-10-2017,159.88
17-10-2017,160.47
18-10-2017,159.76
19-10-2017,155.98
20-10-2017,156.25
23-10-2017,156.17
24-10-2017,157.1
25-10-2017,156.41
26-10-2017,157.41
27-10-2017,163.05
30-10-2017,166.72
31-10-2017,169.04
01-11-2017,166.89
02-11-2017,168.11
03-11-2017,172.5
06-11-2017,174.25
07-11-2017,174.81
08-11-2017,176.24
09-11-2017,175.88
10-11-2017,174.67
13-11-2017,173.97
14-11-2017,171.34
15-11-2017,169.08
16-11-2017,171.1
17-11-2017,170.15
20-11-2017,169.98
21-11-2017,173.14
22-11-2017,174.96
24-11-2017,174.97
27-11-2017,174.09
28-11-2017,173.07
29-11-2017,169.48
30-11-2017,171.85
01-12-2017,171.05
04-12-2017,169.8
05-12-2017,169.64
06-12-2017,169.01
07-12-2017,169.32
08-12-2017,169.37
11-12-2017,172.67
12-12-2017,171.7
13-12-2017,172.27
14-12-2017,172.22
15-12-2017,173.97
18-12-2017,176.42
19-12-2017,174.54
20-12-2017,174.35
21-12-2017,175.01
22-12-2017,175.01
26-12-2017,170.57
27-12-2017,170.6
28-12-2017,171.08
29-12-2017,169.23
02-01-2018,172.26
03-01-2018,172.23
04-01-2018,173.03
05-01-2018,175
08-01-2018,174.35
